DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
bluray,2010,28-Feb,6,11,Inglourious Basterds,"30,370",75%,"1,507,440","$604,978 ","$27,769,528 ",11
dvd,2010,28-Feb,6,new,Cirque du Freak: The Vampire's Assistant,"122,228",,"122,228","$2,229,439 ","$2,229,439 ",1
Comb,2010,28-Feb,7,-,Up,"134,850",-,"11,894,116","$3,932,671 ","$234,838,229 ",16
bluray,2010,28-Feb,7,20,Cloudy With a Chance of Meatballs,"27,186",111%,"273,361","$545,076 ","$6,607,893 ",8
dvd,2010,28-Feb,7,new,Everybody's Fine,"110,632",,"110,632","$2,211,534 ","$2,211,534 ",1
Comb,2010,28-Feb,8,-,Michael Jackson's This Is It,"117,975",-,"2,915,542","$2,009,212 ","$49,909,639 ",5
bluray,2010,28-Feb,8,30,(500) Days of Summer,"25,254",1359%,"118,439","$429,070 ","$2,634,778 ",10
dvd,2010,28-Feb,8,12,Michael Jackson's This Is It,"102,627",-23%,"2,483,611","$1,641,006 ","$39,712,940 ",5
Comb,2010,28-Feb,9,-,Zombieland,"111,080",-,"1,799,701","$1,941,590 ","$32,706,940 ",4
bluray,2010,28-Feb,9,-,The Wizard of Oz,"25,111",1346%,"274,008","$538,373 ","$3,304,091 ",675
dvd,2010,28-Feb,9,11,The Time Traveler's Wife,"99,158",-38%,"1,003,726","$1,585,536 ","$16,265,157 ",3
Comb,2010,28-Feb,10,-,Everybody's Fine,"110,632",-,"110,632","$2,211,534 ","$2,211,534 ",1
bluray,2010,28-Feb,10,new,The Informant!,"23,205",,"23,205","$579,898 ","$579,898 ",1
dvd,2010,28-Feb,10,3,The Hangover,"92,127",-84%,"8,490,236","$1,033,020 ","$155,560,029 ",11
Comb,2010,28-Feb,11,-,The Time Traveler's Wife,"105,997",-,"1,084,062","$1,749,601 ","$18,263,166 ",3
bluray,2010,28-Feb,11,18,District 9,"23,036",75%,"1,071,941","$440,670 ","$19,492,695 ",10
dvd,2010,28-Feb,11,15,Zombieland,"89,023",-19%,"1,365,426","$1,423,478 ","$22,310,234 ",4
Comb,2010,28-Feb,12,-,The Hangover,"104,147",-,"11,184,216","$1,272,944 ","$201,987,366 ",11
bluray,2010,28-Feb,12,4,Zombieland,"22,057",-45%,"434,275","$518,112 ","$10,396,706 ",4
dvd,2010,28-Feb,12,8,Halo Legends,"81,049",-52%,"249,134","$1,458,072 ","$4,014,644 ",2
Comb,2010,28-Feb,13,-,Night at the Museum: Battle of the Smithsonian,"96,820",-,"4,104,402","$1,317,840 ","$57,225,453 ",13
bluray,2010,28-Feb,13,new,Cirque du Freak: The Vampire's Assistant,"22,004",,"22,004","$549,892 ","$549,892 ",1
dvd,2010,28-Feb,13,-,Dr. Seuss - Green Eggs and Ham and Other Favorites,"80,836",507%,"894,811","$570,702 ","$6,799,120 ",334
Comb,2010,28-Feb,14,-,Cloudy With a Chance of Meatballs,"94,661",-,"2,352,297","$1,744,741 ","$43,417,861 ",8
bluray,2010,28-Feb,14,-,Jennifer's Body,"21,939",14624%,"79,321","$390,080 ","$1,413,471 ",9
dvd,2010,28-Feb,14,2,Up,"75,936",-88%,"9,831,448","$1,310,428 ","$165,524,057 ",16
Comb,2010,28-Feb,15,-,Halo Legends,"94,622",-,"329,877","$1,734,290 ","$5,272,885 ",2
bluray,2010,28-Feb,15,new,The Box,"21,757",,"21,757","$326,130 ","$326,130 ",1
dvd,2010,28-Feb,15,25,The Hurt Locker,"73,556",52%,"768,203","$1,323,272 ","$13,932,410 ",7
Comb,2010,28-Feb,16,-,The Hurt Locker,"92,807",-,"1,048,734","$1,765,845 ","$20,572,508 ",7
bluray,2010,28-Feb,16,3,Couples Retreat,"21,469",-52%,"285,307","$472,112 ","$6,148,220 ",3
dvd,2010,28-Feb,16,new,Sorority Row,"73,044",,"73,044","$1,350,584 ","$1,350,584 ",1
Comb,2010,28-Feb,17,-,Sorority Row,"81,893",-,"81,893","$1,483,227 ","$1,483,227 ",1
bluray,2010,28-Feb,17,22,Transformers: Revenge of the Fallen,"20,660",100%,"2,104,441","$402,254 ","$46,612,834 ",19
dvd,2010,28-Feb,17,19,Cloudy With a Chance of Meatballs,"67,475",8%,"2,078,936","$1,199,665 ","$36,809,968 ",8
Comb,2010,28-Feb,18,-,Star Trek,"80,965",-,"9,648,510","$1,240,067 ","$156,706,882 ",15
bluray,2010,28-Feb,18,6,The Hurt Locker,"19,251",-9%,"280,531","$442,573 ","$6,640,098 ",7
dvd,2010,28-Feb,18,-,Stuart Little,"61,570",2826%,"789,751","$769,009 ","$7,940,244 ",515
Comb,2010,28-Feb,19,-,Dr. Seuss - Green Eggs and Ham and Other Favorites,"80,836",-,"894,811","$570,702 ","$6,799,120 ",334
bluray,2010,28-Feb,19,9,Gamer,"18,650",n/c,"185,874","$321,718 ","$3,960,247 ",6
dvd,2010,28-Feb,19,-,"Adventures of Elmo in Grouchland, The","60,627",2213%,"728,708","$603,239 ","$5,482,558 ",532
Comb,2010,28-Feb,20,-,Inglourious Basterds,"66,284",-,"4,591,647","$1,087,508 ","$82,115,977 ",11
bluray,2010,28-Feb,20,-,The Dark Knight,"18,194",169%,"588,573","$272,721 ","$9,529,547 ",64
dvd,2010,28-Feb,20,-,Dr. Seuss' The Cat in the Hat,"59,075",108%,"337,508","$560,622 ","$3,507,370 ",311
Comb,2010,28-Feb,21,-,Stuart Little,"61,570",-,"789,751","$769,009 ","$7,940,244 ",515
dvd,2010,28-Feb,21,-,"Corpse Bride, The","58,009",37568%,"2,777,736","$357,788 ","$37,990,233 ",213
Comb,2010,28-Feb,22,-,"Adventures of Elmo in Grouchland, The","60,627",-,"728,708","$603,239 ","$5,482,558 ",532
dvd,2010,28-Feb,22,-,The Break-Up,"57,370",41472%,"3,254,881","$493,692 ","$52,672,086 ",176
Comb,2010,28-Feb,23,-,Dr. Seuss' The Cat in the Hat,"59,075",-,"337,508","$560,622 ","$3,507,370 ",311
dvd,2010,28-Feb,23,-,Stuart Little 2,"54,479",,"89,921","$571,485 ","$943,271 ",377
Comb,2010,28-Feb,24,-,"Corpse Bride, The","58,145",-,"2,838,279","$359,823 ","$38,896,592 ",213
dvd,2010,28-Feb,24,-,Troy,"53,779",2397%,"1,556,652","$520,446 ","$17,591,264 ",269
Comb,2010,28-Feb,25,-,The Break-Up,"57,370",-,"3,254,881","$493,692 ","$52,672,086 ",176
dvd,2010,28-Feb,25,-,Charlie and the Chocolate Factory,"53,018",13926%,"1,126,131","$439,519 ","$16,075,473 ",225
Comb,2010,28-Feb,26,-,Stuart Little 2,"54,479",-,"89,921","$571,485 ","$943,271 ",377
dvd,2010,28-Feb,26,29,Jillian Michaels: 30 Day Shred,"51,527",19%,"431,369","$463,228 ","$3,878,007 ",102
Comb,2010,28-Feb,27,-,Troy,"53,964",-,"1,589,852","$524,753 ","$18,358,209 ",269
dvd,2010,28-Feb,27,6,Night at the Museum: Battle of the Smithsonian,"49,822",-76%,"3,542,581","$613,344 ","$46,634,797 ",13
Comb,2010,28-Feb,28,-,Charlie and the Chocolate Factory,"53,018",-,"1,126,131","$439,519 ","$16,075,473 ",225
dvd,2010,28-Feb,28,-,Free Willy,"48,696",,"171,309","$267,341 ","$701,950 ",641
Comb,2010,28-Feb,29,-,Jillian Michaels: 30 Day Shred,"51,527",-,"431,369","$463,228 ","$3,878,007 ",102
dvd,2010,28-Feb,29,-,Seven,"47,235",699%,"780,973","$368,117 ","$6,686,191 ",675
Comb,2010,28-Feb,30,-,Free Willy,"48,696",-,"171,309","$267,341 ","$701,950 ",641
dvd,2010,28-Feb,30,new,LeapFrog: Math Adventure to the Moon,"45,379",,"45,379","$521,405 ","$521,405 ",1
Comb,2010,7-Mar,1,-,2012,"2,071,275",-,"2,071,275","$37,836,112 ","$37,836,112 ",1
bluray,2010,7-Mar,1,new,2012,"556,432",,"556,432","$12,992,687 ","$12,992,687 ",1
dvd,2010,7-Mar,1,new,2012,"1,514,843",,"1,514,843","$24,843,425 ","$24,843,425 ",1
Comb,2010,7-Mar,2,-,Where the Wild Things Are,"973,627",-,"973,627","$19,240,071 ","$19,240,071 ",1
bluray,2010,7-Mar,2,new,Where the Wild Things Are,"168,488",,"168,488","$3,902,173 ","$3,902,173 ",1
dvd,2010,7-Mar,2,new,Where the Wild Things Are,"805,139",,"805,139","$15,337,898 ","$15,337,898 ",1
Comb,2010,7-Mar,3,-,Ponyo,"275,892",-,"275,892","$5,768,699 ","$5,768,699 ",1
bluray,2010,7-Mar,3,new,Ponyo,"64,268",,"64,268","$1,606,055 ","$1,606,055 ",1
dvd,2010,7-Mar,3,new,Ponyo,"211,624",,"211,624","$4,162,644 ","$4,162,644 ",1
Comb,2010,7-Mar,4,-,Law Abiding Citizen,"172,388",-,"1,735,704","$2,528,932 ","$21,604,034 ",3
bluray,2010,7-Mar,4,18,The Hurt Locker,"24,706",28%,"305,237","$568,722 ","$7,208,820 ",8
dvd,2010,7-Mar,4,1,Law Abiding Citizen,"147,849",-51%,"1,282,252","$2,111,284 ","$13,574,841 ",3
Comb,2010,7-Mar,5,-,The Hurt Locker,"130,048",-,"1,178,782","$2,463,825 ","$23,036,333 ",8
bluray,2010,7-Mar,5,1,Law Abiding Citizen,"24,539",-81%,"453,452","$417,648 ","$8,029,193 ",3
dvd,2010,7-Mar,5,new,Curious George 2: Follow That Monkey,"111,189",,"111,189","$1,611,129 ","$1,611,129 ",1
Comb,2010,7-Mar,6,-,Couples Retreat,"116,516",-,"2,133,630","$1,926,855 ","$35,766,669 ",4
bluray,2010,7-Mar,6,-,X-Men Origins: Wolverine,"24,316",1519%,"1,360,094","$352,340 ","$29,441,519 ",25
dvd,2010,7-Mar,6,3,Couples Retreat,"105,888",-35%,"1,837,695","$1,693,149 ","$29,384,743 ",4
Comb,2010,7-Mar,7,-,Curious George 2: Follow That Monkey,"111,189",-,"111,189","$1,611,129 ","$1,611,129 ",1
bluray,2010,7-Mar,7,-,Ice Age: Dawn of the Dinosaurs,"22,925",801%,"501,420","$568,311 ","$10,781,006 ",19
dvd,2010,7-Mar,7,15,The Hurt Locker,"105,342",43%,"873,545","$1,895,103 ","$15,827,513 ",8
Comb,2010,7-Mar,8,-,Zombieland,"82,731",-,"1,882,432","$1,431,958 ","$34,138,897 ",5
bluray,2010,7-Mar,8,-,Pirates of the Caribbean - At World's End,"21,979",,"21,979","$330,126 ","$330,126 ",118
dvd,2010,7-Mar,8,11,Zombieland,"68,319",-23%,"1,433,745","$1,092,421 ","$23,402,654 ",5
Comb,2010,7-Mar,9,-,Michael Jackson's This Is It,"73,569",-,"2,989,111","$1,232,473 ","$51,142,112 ",6
bluray,2010,7-Mar,9,-,Pirates of the Caribbean: The Curse of the Black Pearl,"21,868",,"21,868","$316,864 ","$316,864 ",327
dvd,2010,7-Mar,9,8,Michael Jackson's This Is It,"66,502",-35%,"2,550,113","$1,063,367 ","$40,776,307 ",6
Comb,2010,7-Mar,10,-,The Hangover,"72,439",-,"11,256,655","$911,118 ","$202,898,484 ",12
bluray,2010,7-Mar,10,-,Pirates of the Caribbean - Dead Man's Chest,"20,477",,"20,477","$277,459 ","$277,459 ",170
dvd,2010,7-Mar,10,10,The Hangover,"63,926",-31%,"8,554,162","$741,190 ","$156,301,219 ",12
Comb,2010,7-Mar,11,-,Up,"69,181",-,"11,963,297","$1,518,958 ","$236,357,187 ",17
bluray,2010,7-Mar,11,-,Blazing Saddles,"16,402",8%,"100,495","$335,732 ","$2,057,026 ",866
dvd,2010,7-Mar,11,9,The Time Traveler's Wife,"58,927",-41%,"1,062,653","$942,243 ","$17,207,399 ",4
Comb,2010,7-Mar,12,-,Alice,"65,292",-,"65,292","$965,055 ","$965,055 ",1
bluray,2010,7-Mar,12,-,Quantum of Solace,"14,690",5261%,"149,839","$292,033 ","$2,578,073 ",50
dvd,2010,7-Mar,12,14,Up,"58,776",-23%,"9,890,224","$1,057,380 ","$166,581,437 ",17
Comb,2010,7-Mar,13,-,The Time Traveler's Wife,"64,638",-,"1,148,700","$1,087,716 ","$19,350,881 ",4
bluray,2010,7-Mar,13,12,Zombieland,"14,412",-35%,"448,687","$339,537 ","$10,736,243 ",5
dvd,2010,7-Mar,13,new,Alice,"58,170",,"58,170","$844,047 ","$844,047 ",1
Comb,2010,7-Mar,14,-,Justice League: Crisis on Two Earths,"62,581",-,"325,079","$864,247 ","$5,319,334 ",2
bluray,2010,7-Mar,14,-,National Treasure,"12,854",,"12,854","$269,797 ","$269,797 ",253
dvd,2010,7-Mar,14,2,Justice League: Crisis on Two Earths,"55,292",-73%,"260,821","$718,243 ","$4,012,873 ",2
Comb,2010,7-Mar,15,-,Cloudy With a Chance of Meatballs,"56,206",-,"2,408,503","$993,186 ","$44,411,046 ",9
bluray,2010,7-Mar,15,-,National Treasure - Book of Secrets,"11,852",,"11,852","$178,610 ","$178,610 ",94
dvd,2010,7-Mar,15,-,Taken,"54,989",2940%,"4,182,111","$592,847 ","$65,943,026 ",43
Comb,2010,7-Mar,16,-,The Informant!,"55,607",-,"224,779","$970,307 ","$4,072,515 ",2
bluray,2010,7-Mar,16,16,Couples Retreat,"10,628",-50%,"295,935","$233,706 ","$6,381,926 ",4
dvd,2010,7-Mar,16,17,Cloudy With a Chance of Meatballs,"53,171",-21%,"2,132,107","$917,620 ","$37,727,587 ",9
Comb,2010,7-Mar,17,-,Taken,"55,146",-,"4,351,249","$595,121 ","$69,166,103 ",43
bluray,2010,7-Mar,17,4,Star Trek,"10,572",-81%,"3,036,421","$179,939 ","$60,083,267 ",16
dvd,2010,7-Mar,17,4,The Informant!,"52,414",-64%,"198,381","$890,514 ","$3,412,824 ",2
Comb,2010,7-Mar,18,-,The Box,"52,013",-,"218,976","$1,019,018 ","$4,247,816 ",2
bluray,2010,7-Mar,18,-,Rocky,"10,517",884%,"66,445","$147,653 ","$893,524 ",265
dvd,2010,7-Mar,18,-,Alvin and the Chipmunks,"50,172",10667%,"8,014,135","$676,820 ","$133,458,174 ",101
Comb,2010,7-Mar,19,-,Alvin and the Chipmunks,"50,172",-,"8,014,135","$676,820 ","$133,458,174 ",101
bluray,2010,7-Mar,19,2,Up,"10,405",-82%,"2,073,073","$461,578 ","$69,775,750 ",17
dvd,2010,7-Mar,19,26,Jillian Michaels: 30 Day Shred,"49,687",-4%,"481,056","$446,686 ","$4,324,693 ",103
Comb,2010,7-Mar,20,-,Jillian Michaels: 30 Day Shred,"49,687",-,"481,056","$446,686 ","$4,324,693 ",103
bluray,2010,7-Mar,20,6,Inglourious Basterds,"10,183",-66%,"1,517,623","$201,108 ","$27,970,636 ",12
dvd,2010,7-Mar,20,5,The Box,"47,869",-67%,"193,075","$956,901 ","$3,859,569 ",2
Comb,2010,7-Mar,21,-,Cirque du Freak: The Vampire's Assistant,"48,254",-,"192,486","$889,875 ","$3,669,205 ",2
dvd,2010,7-Mar,21,6,Cirque du Freak: The Vampire's Assistant,"45,142",-63%,"167,370","$812,105 ","$3,041,543 ",2
Comb,2010,7-Mar,22,-,Inglourious Basterds,"46,085",-,"4,637,732","$691,138 ","$82,807,115 ",12
dvd,2010,7-Mar,22,19,"Adventures of Elmo in Grouchland, The","44,839",-26%,"773,547","$408,483 ","$5,891,042 ",533
Comb,2010,7-Mar,23,-,Ice Age: Dawn of the Dinosaurs,"45,193",-,"5,635,551","$933,132 ","$96,315,215 ",19
dvd,2010,7-Mar,23,13,Dr. Seuss - Green Eggs and Ham and Other Favorites,"44,233",-45%,"939,044","$353,422 ","$7,152,542 ",335
Comb,2010,7-Mar,24,-,"Adventures of Elmo in Grouchland, The","44,839",-,"773,547","$408,483 ","$5,891,042 ",533
dvd,2010,7-Mar,24,-,The Adventures of Milo and Otis,"40,901",-5%,"152,246","$306,348 ","$965,963 ",549
Comb,2010,7-Mar,25,-,Dr. Seuss - Green Eggs and Ham and Other Favorites,"44,233",-,"939,044","$353,422 ","$7,152,542 ",335
dvd,2010,7-Mar,25,18,Stuart Little,"39,689",-36%,"829,440","$441,739 ","$8,381,982 ",516
Comb,2010,7-Mar,26,-,The Adventures of Milo and Otis,"40,901",-,"152,246","$306,348 ","$965,963 ",549
dvd,2010,7-Mar,26,7,Everybody's Fine,"37,568",-66%,"148,200","$750,984 ","$2,962,518 ",2
Comb,2010,7-Mar,27,-,Stuart Little,"39,689",-,"829,440","$441,739 ","$8,381,982 ",516
dvd,2010,7-Mar,27,new,Strawberry Shortcake: The Berryfest Princess Movie,"37,417",,"37,417","$429,921 ","$429,921 ",1
Comb,2010,7-Mar,28,-,Everybody's Fine,"37,568",-,"148,200","$750,984 ","$2,962,518 ",2
dvd,2010,7-Mar,28,-,My Neighbor Totoro,"37,114",,"37,114","$741,909 ","$741,909 ",731
Comb,2010,7-Mar,29,-,Strawberry Shortcake: The Berryfest Princess Movie,"37,417",-,"37,417","$429,921 ","$429,921 ",1
dvd,2010,7-Mar,29,23,Stuart Little 2,"36,962",-32%,"126,883","$369,250 ","$1,312,522 ",378
Comb,2010,7-Mar,30,-,My Neighbor Totoro,"37,114",-,"37,114","$741,909 ","$741,909 ",731
dvd,2010,7-Mar,30,20,Dr. Seuss' The Cat in the Hat,"36,205",-39%,"373,713","$336,279 ","$3,843,650 ",312
Comb,2010,14-Mar,1,-,"Precious: Based on the Novel ""Push"" by Sapphire","768,332",-,"768,332","$13,350,737 ","$13,350,737 ",1
bluray,2010,14-Mar,1,new,Boondock Saints II: All Saints Day,"154,040",,"154,040","$2,974,512 ","$2,974,512 ",1
dvd,2010,14-Mar,1,new,"Precious: Based on the Novel ""Push"" by Sapphire","726,294",,"726,294","$12,339,735 ","$12,339,735 ",1
Comb,2010,14-Mar,2,-,Boondock Saints II: All Saints Day,"744,154",-,"744,154","$13,590,663 ","$13,590,663 ",1
bluray,2010,14-Mar,2,1,2012,"147,909",-73%,"704,341","$3,462,555 ","$16,455,242 ",2
dvd,2010,14-Mar,2,new,Boondock Saints II: All Saints Day,"590,114",,"590,114","$10,616,151 ","$10,616,151 ",1
Comb,2010,14-Mar,3,-,2012,"712,095",-,"2,783,370","$13,544,559 ","$51,380,671 ",2
bluray,2010,14-Mar,3,4,The Hurt Locker,"73,323",197%,"378,560","$1,716,492 ","$8,925,312 ",9
dvd,2010,14-Mar,3,new,Old Dogs,"583,214",,"583,214","$10,200,413 ","$10,200,413 ",1
Comb,2010,14-Mar,4,-,Old Dogs,"654,442",-,"654,442","$12,023,140 ","$12,023,140 ",1
bluray,2010,14-Mar,4,new,Old Dogs,"71,228",,"71,228","$1,822,727 ","$1,822,727 ",1
dvd,2010,14-Mar,4,1,2012,"564,186",-63%,"2,079,029","$10,082,004 ","$34,925,429 ",2
Comb,2010,14-Mar,5,-,Up in the Air,"594,037",-,"594,037","$10,578,788 ","$10,578,788 ",1
bluray,2010,14-Mar,5,new,Up in the Air,"57,596",,"57,596","$1,464,655 ","$1,464,655 ",1
dvd,2010,14-Mar,5,new,Up in the Air,"536,441",,"536,441","$9,114,133 ","$9,114,133 ",1
Comb,2010,14-Mar,6,-,Planet 51,"460,574",-,"460,574","$7,892,602 ","$7,892,602 ",1
dvd,2010,14-Mar,6,new,Planet 51,"413,407",,"413,407","$7,023,785 ","$7,023,785 ",1
bluray,2010,14-Mar,6,new,Planet 51,"47,167",,"47,167","$868,817 ","$868,817 ",1
Comb,2010,14-Mar,7,-,The Hurt Locker,"378,294",-,"1,557,076","$7,202,920 ","$30,239,253 ",9
bluray,2010,14-Mar,7,new,"Precious: Based on the Novel ""Push"" by Sapphire","42,038",,"42,038","$1,011,002 ","$1,011,002 ",1
dvd,2010,14-Mar,7,new,Barbie in a Mermaid Tale,"350,074",,"350,074","$5,247,609 ","$5,247,609 ",1
Comb,2010,14-Mar,8,-,Barbie in a Mermaid Tale,"350,074",-,"350,074","$5,247,609 ","$5,247,609 ",1
bluray,2010,14-Mar,8,2,Where the Wild Things Are,"34,274",-80%,"202,762","$805,094 ","$4,707,267 ",2
dvd,2010,14-Mar,8,7,The Hurt Locker,"304,971",190%,"1,178,516","$5,486,428 ","$21,313,941 ",9
Comb,2010,14-Mar,9,-,Where the Wild Things Are,"275,331",-,"1,248,958","$4,900,652 ","$24,140,723 ",2
bluray,2010,14-Mar,9,-,Blazing Saddles,"19,423",18%,"119,918","$397,569 ","$2,454,595 ",867
dvd,2010,14-Mar,9,2,Where the Wild Things Are,"241,057",-70%,"1,046,196","$4,095,558 ","$19,433,456 ",2
Comb,2010,14-Mar,10,-,Ponyo,"124,755",-,"400,647","$2,364,676 ","$8,133,375 ",2
bluray,2010,14-Mar,10,21,Boondock Saints,"17,468",79%,"160,619","$241,235 ","$2,214,505 ",408
dvd,2010,14-Mar,10,3,Ponyo,"107,564",-49%,"319,188","$1,935,076 ","$6,097,720 ",2
Comb,2010,14-Mar,11,-,Up,"120,809",-,"12,084,106","$2,594,275 ","$238,951,462 ",18
bluray,2010,14-Mar,11,3,Ponyo,"17,191",-73%,"81,459","$429,600 ","$2,035,655 ",2
dvd,2010,14-Mar,11,12,Up,"104,804",78%,"9,995,028","$1,885,424 ","$168,466,861 ",18
Comb,2010,14-Mar,12,-,Law Abiding Citizen,"113,843",-,"1,849,547","$1,966,428 ","$23,570,462 ",4
bluray,2010,14-Mar,12,5,Law Abiding Citizen,"16,374",-33%,"469,826","$286,062 ","$8,315,255 ",4
dvd,2010,14-Mar,12,4,Law Abiding Citizen,"97,469",-34%,"1,379,721","$1,680,366 ","$15,255,207 ",4
Comb,2010,14-Mar,13,-,Boondock Saints,"90,097",-,"477,847","$1,257,315 ","$6,375,220 ",408
bluray,2010,14-Mar,13,18,Up,"16,005",54%,"2,089,078","$708,851 ","$70,484,601 ",18
dvd,2010,14-Mar,13,-,Boondock Saints,"72,629",2010%,"317,228","$1,016,080 ","$4,160,715 ",408
Comb,2010,14-Mar,14,-,Inglourious Basterds,"86,933",-,"4,724,665","$1,292,999 ","$84,100,115 ",13
bluray,2010,14-Mar,14,11,Quantum of Solace,"15,928",8%,"165,767","$294,504 ","$2,872,577 ",51
dvd,2010,14-Mar,14,-,Inglourious Basterds,"72,484",102%,"3,192,593","$1,004,164 ","$55,840,644 ",13
Comb,2010,14-Mar,15,-,Zombieland,"80,209",-,"1,962,641","$1,400,747 ","$35,539,644 ",6
bluray,2010,14-Mar,15,19,Inglourious Basterds,"14,449",42%,"1,532,072","$288,835 ","$28,259,471 ",13
dvd,2010,14-Mar,15,6,Couples Retreat,"69,652",-34%,"1,907,347","$1,113,735 ","$30,498,479 ",5
Comb,2010,14-Mar,16,-,Couples Retreat,"77,246",-,"2,210,876","$1,280,275 ","$37,046,945 ",5
bluray,2010,14-Mar,16,24,District 9,"14,264",82%,"1,094,052","$285,139 ","$19,932,786 ",12
dvd,2010,14-Mar,16,new,Capitalism: A Love Story,"66,383",,"66,383","$1,194,230 ","$1,194,230 ",1
Comb,2010,14-Mar,17,-,Capitalism: A Love Story,"71,143",-,"71,143","$1,265,580 ","$1,265,580 ",1
bluray,2010,14-Mar,17,9,Pirates of the Caribbean: The Curse of the Black Pearl,"14,033",-36%,"35,901","$203,339 ","$520,203 ",328
dvd,2010,14-Mar,17,8,Zombieland,"66,238",-3%,"1,499,983","$1,059,146 ","$24,461,800 ",6
Comb,2010,14-Mar,18,-,The Hangover,"69,214",-,"11,325,869","$905,055 ","$203,803,539 ",13
bluray,2010,14-Mar,18,12,Zombieland,"13,971",-3%,"462,658","$341,601 ","$11,077,844 ",6
dvd,2010,14-Mar,18,new,Hannah Montana: Miley Says Goodbye?,"65,948",,"65,948","$988,561 ","$988,561 ",1
Comb,2010,14-Mar,19,-,Hannah Montana: Miley Says Goodbye?,"65,948",-,"65,948","$988,561 ","$988,561 ",1
bluray,2010,14-Mar,19,16,Star Trek,"12,185",15%,"3,048,607","$212,864 ","$60,296,131 ",17
dvd,2010,14-Mar,19,10,The Hangover,"61,081",-4%,"8,615,243","$742,714 ","$157,043,933 ",13
Comb,2010,14-Mar,20,-,Edward Scissorhands,"57,156",-,"1,054,697","$418,426 ","$11,333,625 ",497
bluray,2010,14-Mar,20,10,Pirates of the Caribbean - Dead Man's Chest,"11,938",-42%,"32,415","$171,073 ","$448,532 ",171
dvd,2010,14-Mar,20,-,Edward Scissorhands,"54,399",742%,"1,041,677","$373,950 ","$11,125,661 ",497
Comb,2010,14-Mar,21,-,Curious George 2: Follow That Monkey,"48,952",-,"160,141","$709,314 ","$2,320,443 ",2
dvd,2010,14-Mar,21,5,Curious George 2: Follow That Monkey,"48,952",-56%,"160,141","$709,314 ","$2,320,443 ",2
Comb,2010,14-Mar,22,-,District 9,"46,511",-,"2,765,260","$871,002 ","$48,439,550 ",12
dvd,2010,14-Mar,22,30,Dr. Seuss' The Cat in the Hat,"36,659",1%,"410,372","$389,487 ","$4,233,137 ",313
Comb,2010,14-Mar,23,-,The Informant!,"39,788",-,"264,567","$708,431 ","$4,780,945 ",3
dvd,2010,14-Mar,23,17,The Informant!,"35,734",-32%,"234,115","$607,121 ","$4,019,944 ",3
Comb,2010,14-Mar,24,-,Cloudy With a Chance of Meatballs,"37,720",-,"2,446,223","$720,070 ","$45,131,117 ",10
dvd,2010,14-Mar,24,-,District 9,"32,247",154%,"1,671,208","$585,863 ","$28,506,764 ",12
Comb,2010,14-Mar,25,-,Star Trek,"36,734",-,"9,705,016","$472,627 ","$157,458,619 ",17
dvd,2010,14-Mar,25,21,Cirque du Freak: The Vampire's Assistant,"30,300",-33%,"197,670","$545,097 ","$3,586,640 ",3
Comb,2010,14-Mar,26,-,Dr. Seuss' The Cat in the Hat,"36,659",-,"410,372","$389,487 ","$4,233,137 ",313
dvd,2010,14-Mar,26,-,Free Willy,"29,172",-2%,"230,227","$426,203 ","$1,573,748 ",643
Comb,2010,14-Mar,27,-,Cirque du Freak: The Vampire's Assistant,"34,603",-,"227,089","$652,631 ","$4,321,836 ",3
dvd,2010,14-Mar,27,16,Cloudy With a Chance of Meatballs,"28,904",-46%,"2,161,011","$500,565 ","$38,228,153 ",10
Comb,2010,14-Mar,28,-,The Time Traveler's Wife,"30,057",-,"1,178,757","$523,756 ","$19,874,637 ",5
dvd,2010,14-Mar,28,-,A Serious Man,"28,830",140%,"142,514","$547,482 ","$2,706,341 ",5
Comb,2010,14-Mar,29,-,A Serious Man,"29,648",-,"167,508","$563,424 ","$3,193,467 ",5
dvd,2010,14-Mar,29,26,Everybody's Fine,"25,638",-32%,"173,838","$512,504 ","$3,475,022 ",3
Comb,2010,14-Mar,30,-,Free Willy,"29,172",-,"230,227","$426,203 ","$1,573,748 ",643
dvd,2010,14-Mar,30,11,The Time Traveler's Wife,"25,507",-57%,"1,088,160","$407,857 ","$17,615,256 ",5
Comb,2010,21-Mar,1,-,The Twilight Saga: New Moon,"3,494,453",-,"3,494,453","$81,541,497 ","$81,541,497 ",1
bluray,2010,21-Mar,1,new,The Twilight Saga: New Moon,"291,840",,"291,840","$6,151,987 ","$6,151,987 ",1
dvd,2010,21-Mar,1,new,The Twilight Saga: New Moon,"3,202,613",,"3,202,613","$75,389,510 ","$75,389,510 ",1
Comb,2010,21-Mar,2,-,The Princess and the Frog,"2,214,378",-,"2,214,378","$38,420,634 ","$38,420,634 ",1
bluray,2010,21-Mar,2,new,The Princess and the Frog,"173,353",,"173,353","$4,784,542 ","$4,784,542 ",1
dvd,2010,21-Mar,2,new,The Princess and the Frog,"2,041,025",,"2,041,025","$33,636,092 ","$33,636,092 ",1
Comb,2010,21-Mar,3,-,Ninja Assassin,"404,003",-,"404,003","$8,666,155 ","$8,666,155 ",1
bluray,2010,21-Mar,3,new,Ninja Assassin,"101,356",,"101,356","$2,667,691 ","$2,667,691 ",1
