DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,11-Jan,15,4,Resident Evil: Degeneration,"84,150",-64%,"320,353","$1,682,158 ","$6,403,856 ",3
dvd,2009,11-Jan,16,5,"Mummy: Tomb of the Dragon Emperor, The","80,051",-64%,"2,295,476","$1,321,474 ","$37,691,310 ",4
dvd,2009,11-Jan,17,13,Step Brothers,"79,368",-45%,"2,875,109","$1,569,947 ","$50,662,427 ",6
dvd,2009,11-Jan,18,6,Wanted,"78,798",-65%,"3,705,600","$1,292,098 ","$62,385,358 ",6
dvd,2009,11-Jan,19,9,WALL-E,"77,628",-59%,"7,681,456","$1,224,457 ","$121,124,482 ",8
dvd,2009,11-Jan,20,15,Kung Fu Panda,"77,318",-43%,"7,699,748","$1,236,315 ","$118,312,068 ",10
dvd,2009,11-Jan,21,21,Traitor,"71,753",-31%,"713,059","$1,075,577 ","$10,799,398 ",4
dvd,2009,11-Jan,22,19,Ghost Town,"69,992",-40%,"187,205","$1,399,140 ","$3,742,228 ",3
dvd,2009,11-Jan,23,23,Indiana Jones and the Kingdom of the Crystal Skull,"69,645",-28%,"5,480,577","$1,155,334 ","$106,101,174 ",13
dvd,2009,11-Jan,24,8,Death Race,"68,778",-64%,"903,884","$1,443,650 ","$18,972,525 ",3
dvd,2009,11-Jan,25,7,Burn After Reading,"67,981",-66%,"895,721","$1,154,997 ","$15,218,300 ",3
dvd,2009,11-Jan,26,14,Hancock,"67,564",-52%,"4,784,001","$1,303,762 ","$82,006,678 ",7
dvd,2009,11-Jan,27,new,"American Girl: Chrissa Stands Strong, An","65,248",,"65,248","$1,108,564 ","$1,108,564 ",1
dvd,2009,11-Jan,28,10,"Chronicles of Narnia: Prince Caspian, The","63,935",-65%,"4,691,455","$985,564 ","$74,518,710 ",6
dvd,2009,11-Jan,29,25,Lost: The Complete Fourth Season,"63,685",-31%,"976,113","$2,355,708 ","$36,106,420 ",5
dvd,2009,11-Jan,30,22,Tropic Thunder,"57,141",-42%,"2,654,001","$1,131,398 ","$45,008,433 ",8
dvd,2009,18-Jan,1,new,Tyler Perry's The Family That Preys,"491,001",,"491,001","$10,776,195 ","$10,776,195 ",1
dvd,2009,18-Jan,2,1,Pineapple Express,"409,494",-64%,"1,548,197","$7,287,273 ","$26,588,289 ",2
dvd,2009,18-Jan,3,new,My Best Friend's Girl,"269,707",,"269,707","$5,930,857 ","$5,930,857 ",1
dvd,2009,18-Jan,4,new,Appaloosa,"257,628",,"257,628","$4,523,948 ","$4,523,948 ",1
dvd,2009,18-Jan,5,new,Mirrors,"241,621",,"241,621","$4,105,141 ","$4,105,141 ",1
dvd,2009,18-Jan,6,2,Righteous Kill,"192,570",-56%,"631,996","$3,712,750 ","$10,796,297 ",2
dvd,2009,18-Jan,7,new,Swing Vote,"151,375",,"151,375","$3,139,518 ","$3,139,518 ",1
dvd,2009,18-Jan,8,4,Bangkok Dangerous (2008),"143,372",-56%,"465,625","$2,909,061 ","$9,408,453 ",2
dvd,2009,18-Jan,9,7,The Dark Knight,"132,565",-20%,"11,714,114","$2,274,179 ","$204,118,695 ",6
dvd,2009,18-Jan,10,3,Babylon A.D.,"128,740",-60%,"452,815","$2,717,804 ","$9,400,231 ",2
dvd,2009,18-Jan,11,5,Eagle Eye,"125,451",-53%,"1,617,929","$2,140,708 ","$28,499,178 ",4
dvd,2009,18-Jan,12,new,Tyler Perry's Marriage Counselor,"121,572",,"121,572","$1,700,792 ","$1,700,792 ",1
dvd,2009,18-Jan,13,8,Mamma Mia!,"114,781",-28%,"5,288,396","$2,633,501 ","$113,292,703 ",5
dvd,2009,18-Jan,14,19,WALL-E,"82,565",6%,"7,764,021","$1,288,493 ","$122,412,975 ",9
